序号,省份,地市,区县,生产经营场所地址,污水处理厂名称,运营单位,排污许可证编号,"设计处理能力
（万吨/日）","2019年实际处理
水量（万吨）"
6931,四川省,成都市,双流区,"九江街道蛟龙工业
港黄海路516号","成都蛟龙投资有
限责任公司蛟龙
港污水处理厂","成都蛟龙投资有限责任公司
蛟龙港污水处理厂",91510122755966292Y001V,3,509.89
6932,四川省,成都市,双流区,"西航港街道办事处
江安村","成都科雅污水处
理有限公司航空
港污水处理厂","成都科雅污水处理有限公司
航空港污水处理厂",915101226630280636001U,5,1867.87
6933,四川省,成都市,双流区,"黄水镇玉龙南街
401号","黄水镇污水处理
厂","成都空港环境投资有限公司
双流区黄水镇污水处理站",91510122MA64534E74008X,0.15,10.63
6934,四川省,成都市,双流区,"九江街道金岛社区
三组","九江镇污水处理
厂","成都空港环境投资有限公司
双流区九江街道污水处理站",91510122MA64534E74005W,0.4,32.48
6935,四川省,成都市,双流区,永安镇白果村二组,"永安镇污水处理
厂","成都空港环境投资有限公司
双流区永安镇污水处理站",91510122MA64534E74007Z,0.15,18.43
6936,四川省,成都市,"龙泉驿
区","柏合镇二河村10
组94号","芦溪河污水处理
厂","成都龙泉中科成污水净化有
限公司",91510112667590301D001W,4,1346.39
6937,四川省,成都市,新津区,"工业园区（邓双）
兴化8路222号","成都明日得环境
污染治理有限公
司新津工业污水
处理厂","成都明日得环境污染治理有
限公司新津工业污水处理厂",91510132MA6BFGRU00001Q,1,353
6938,四川省,成都市,"青白江
区","大同街道同济大道
29号","青白江区污水处
理厂","成都青白江中科成污水净化
有限公司",9151011368900481XT001Q,10,3573.1
6939,四川省,成都市,高新区,"中和片区龙灯山石
河村2组2号","成都市第十净水
厂","成都市排水有限责任公司成
都市第十净水厂",915101007348085435008V,5,1146.5
6940,四川省,成都市,青羊区,"蔡桥街道万家湾村
11组","成都市第八再生
水厂",成都市排水有限责任公司,915101007348085435004Z,20,6312.86
6941,四川省,成都市,锦江区,大安桥村4组17号,"成都市排水有限
责任公司第九再
生水厂","成都市排水有限责任公司第
九再生水厂",915101007348085435002V,100,37386.16
6942,四川省,成都市,成华区,"龙潭街道高洪社区
五组","成都市排水有限
责任公司第六再
生水厂","成都市排水有限责任公司第
六净水厂",915101007348085435007V,10,2716
6943,四川省,成都市,金牛区,"天回镇甘油社区4
组806号","成都市第七净水
厂","成都市排水有限责任公司第
七净水厂",915101007348085435003W,10,3488.86
6944,四川省,成都市,高新区,天华二路28号,"成都市第三净水
厂","成都市排水有限责任公司第
三净水厂",915101007348085435005Y,20,6484.1
6945,四川省,成都市,成华区,"龙潭街道高洪社区
五组","成都市排水有限
责任公司第四再
生水厂","成都市排水有限责任公司第
四净水厂",915101007348085435001X,15,4166.78
6946,四川省,成都市,武侯区,"华兴街道三河村2
组404","成都市排水有限
责任公司第五净
水厂",成都市排水有限责任公司,915101007348085435006Y,20,6301.43
6947,四川省,成都市,"青白江
区",姚渡镇龙安村三组,"龙王镇污水处理
厂","四川净尔舒环保技术有限
公司",915101136630320971002V,0.15,19.53
6948,四川省,成都市,"青白江
区",姚渡镇永和村5组,"姚渡镇污水处理
厂","四川净尔舒环保技术有限
公司",915101136630320971001U,0.2,57.57
6949,四川省,成都市,双流区,公兴街道朱家村,"公兴镇污水处理
厂","成都市双流区航都环境投资
有限责任公司双流区公兴镇
污水处理厂",91510122MA64534E74001W,0.2,40.69
6950,四川省,成都市,双流区,"黄龙溪镇金华村6
组","黄龙溪镇污水处
理厂","成都市双流区航都环境投资
有限责任公司双流区黄龙溪
镇污水处理厂",91510122MA64534E74002W,0.5,83.73
6951,四川省,成都市,双流区,"金桥镇金桥社区五
组","金桥镇污水处理
厂","成都市双流区航都环境投资
有限责任公司双流区金桥镇
污水处理厂",91510122MA64534E74006Z,0.2,12.55
6952,四川省,成都市,双流区,彭镇岐阳村五组,彭镇污水处理厂,"成都市双流区航都环境投资
有限责任公司双流区彭镇污
水处理厂",91510122MA64534E74003Q,0.5,121.12
6953,四川省,成都市,双流区,胜利镇白塔村4社,"胜利镇污水处理
厂","成都市双流区航都环境投资
有限责任公司双流区胜利镇
污水处理厂",91510122MA64534E74004Z,0.25,25.52
6954,四川省,成都市,新都区,"工业东区泰兴镇普
河村幸福路386号","工业东区污水处
理厂","成都市天雅水质净化有限公
司新都卫星城工业东区污水
处理厂",915101146653030810001X,3,1068.19
6955,四川省,成都市,温江区,涌泉镇前锋村一组,"温江区城市污水
处理厂二期","成都市温江区新阳晨污水处
理有限公司温江区城市污水
处理厂",91510115792179781H001Q,3,1080.54
6956,四川省,成都市,郫都区,安德镇园田村,"安德园区工业污
水处理厂",成都市西汇水环境有限公司,91510124MA61U7R89P007U,1.95,551.15
6957,四川省,成都市,郫都区,静园东路1566号,"成都合作净水厂
三期",成都市西汇水环境有限公司,91510124MA61U7R89P001Y,10,3686.5
6958,四川省,成都市,郫都区,"三道堰镇青杠村4
社","三道堰污水处理
厂",成都市西汇水环境有限公司,91510124MA61U7R89P002U,0.3,103.52
6959,四川省,成都市,郫都区,"唐昌镇大云村22
社",唐昌污水处理厂,成都市西汇水环境有限公司,91510124MA61U7R89P004U,0.5,186.32
6960,四川省,成都市,郫都区,"唐元镇青杨村6、7
社",唐元污水处理厂,成都市西汇水环境有限公司,91510124MA61U7R89P003V,0.3,110.87
6961,四川省,成都市,郫都区,团结镇花篱村1社,"团结镇第二污水
处理厂",成都市西汇水环境有限公司,91510124MA61U7R89P005U,1.5,403.33
6962,四川省,成都市,郫都区,团结镇花篱村一社,团结污水处理厂,成都市西汇水环境有限公司,91510124MA61U7R89P006W,0.7,105.57
6963,四川省,成都市,郫都区,"新民场镇金柏村9
组","新民场污水处理
厂",成都市西汇水环境有限公司,91510121MA61U7R89P001Q,0.3,94.75
6964,四川省,成都市,新都区,万和村、崇义村,"成都市新都金海
污水处理有限责
任公司","成都市新都金海污水处理有
限责任公司新都金海污水处
理厂",91510114755963235R001Q,9.9,3392.59
6965,四川省,成都市,新津区,安西镇安西村,"成都市新津水城
水务投资有限责
任公司新津县安
西镇污水处理厂","成都市新津水城水务投资有
限责任公司新津县安西镇污
水处理厂",91510132681831255P010U,0.06,14.85
6966,四川省,成都市,新津区,花桥镇黄桷树社区,"成都市新津水城
水务投资有限责
任公司新津县城
市生活污水处理
厂","成都市新津水城水务投资有
限责任公司新津县城市生活
污水处理厂",91510132681831255P008V,2,695.16
6967,四川省,成都市,新津区,方兴镇方兴社区,"成都市新津水城
水务投资有限责
任公司新津县方
兴镇污水处理厂","成都市新津水城水务投资有
限责任公司新津县方兴镇污
水处理厂",91510132681831255P005X,0.1,23.38
6968,四川省,成都市,新津区,花桥镇蔡湾村5组,"成都市新津水城
水务投资有限责
任公司新津县花
桥镇污水处理厂","成都市新津水城水务投资有
限责任公司新津县花桥镇污
水处理厂",91510132681831255P004V,0.1,17.09
6969,四川省,成都市,新津区,花源镇柳河社区,"成都市新津水城
水务投资有限责
任公司新津县花
源镇污水处理厂","成都市新津水城水务投资有
限责任公司新津县花源镇污
水处理厂",91510132681831255P006W,1.5,146.75
6970,四川省,成都市,新津区,普兴养正村二组,"成都市新津水城
水务投资有限责
任公司新津县普
兴镇污水处理厂","成都市新津水城水务投资有
限责任公司新津县普兴镇污
水处理厂",91510132681831255P001V,0.2,48
6971,四川省,成都市,新津区,文井乡张场社区,"成都市新津水城
水务投资有限责
任公司新津县文
井乡污水处理厂","成都市新津水城水务投资有
限责任公司新津县文井乡污
水处理厂",91510132681831255P011Q,0.06,19.7
6972,四川省,成都市,新津区,新平镇万街村五组,"成都市新津水城
水务投资有限责
任公司新津县新
平镇万街污水处
理厂","成都市新津水城水务投资有
限责任公司新津县新平镇万
街污水处理厂",91510132681831255P003X,0.1,13.03
6973,四川省,成都市,新津区,兴义镇兴场社区,"成都市新津水城
水务投资有限责
任公司新津县兴
义镇污水处理厂","成都市新津水城水务投资有
限责任公司新津县兴义镇污
水处理厂",91510132681831255P002Z,0.1,18.82
6974,四川省,成都市,新津区,永商镇车灌村,"成都市新津水城
水务投资有限责
任公司新津县永
商镇污水处理厂","成都市新津水城水务投资有
限责任公司新津县永商镇污
水处理厂",91510132681831255P007Q,0.3,63.15
6975,四川省,成都市,新津区,永商镇永兴场,"成都市新津水城
水务投资有限责
任公司新津县永
商镇永兴场污水
处理厂","成都市新津水城水务投资有
限责任公司新津县永商镇永
兴场污水处理厂",91510132681831255P009U,0.06,12.9
6976,四川省,成都市,"龙泉驿
区","龙泉街办平安村八
组201号",平安污水处理厂,"成都市中工水务有限责任公
司",91510112667575451W001Y,5.96,2299.84
6977,四川省,成都市,双流区,黄水镇文通村,"成都双流中科成
污水净化有限公
司双流东升污水
处理厂","成都双流中科成污水净化有
限公司双流东升污水处理厂",91510122755999502K001U,5,1897.92
6978,四川省,成都市,"天府新
区","华阳广福11组98
号","成都天府新区海
天水务有限公司
华阳第一污水处
理厂","成都天府新区海天水务有限
公司华阳第一污水处理厂",91510100569687476U001U,3.96,1351.07
6979,四川省,成都市,"天府新
区",白沙镇盛华村3社,"白沙镇污水处理
厂","成都天投实业有限公司天府
新区白沙污水处理厂",915101000977560656005W,0.1,19.88
6980,四川省,成都市,"天府新
区",大林镇石庙村,"大林镇石庙污水
处理厂","成都天投实业有限公司天府
新区大林石庙污水处理厂",915101000977560656010Q,0.08,4.04
6981,四川省,成都市,"天府新
区",籍田街道西安村,"籍田镇污水处理
厂","成都天投实业有限公司天府
新区籍田污水处理厂",915101000977560656003Y,0.25,49.37
6982,四川省,成都市,"天府新
区","煎茶街道柳溪路一
段","煎茶镇污水处理
厂","成都天投实业有限公司天府
新区煎茶污水处理厂",915101000977560656009Q,0.08,24.47
6983,四川省,成都市,"天府新
区","三星街道南新村5
组","三星农产品加工
基地污水处理站","成都天投实业有限公司天府
新区三星农产品加工基地污
水处理站",915101000977560656004Y,0.1,32.04
6984,四川省,成都市,"天府新
区","三星街道南新村13
组","三星镇污水处理
厂","成都天投实业有限公司天府
新区三星污水处理厂",915101000977560656002W,0.1,21
6985,四川省,成都市,"天府新
区","太平街道同兴村9
组","太平镇污水处理
厂","成都天投实业有限公司天府
新区太平污水处理厂",915101000977560656007X,0.15,21
6986,四川省,成都市,"天府新
区",新兴镇小桥村一组,"新兴污水处理一
厂（一期）","成都天投实业有限公司天府
新区新兴污水处理一厂",915101000977560656008V,0.5,141
6987,四川省,成都市,"天府新
区","永兴街道红花村1
组","永兴镇污水处理
厂","成都天投实业有限公司天府
新区永兴污水处理厂",915101000977560656006W,0.15,37.61
6988,四川省,成都市,"天府新
区",正兴镇鱼嘴村6组,"正兴镇污水处理
厂","成都天投实业有限公司天府
新区正兴污水处理厂",915101000977560656001W,0.3,82.47
6989,四川省,成都市,"龙泉驿
区","西河镇天平村10
组",西河污水处理厂,"成都天源龙泉水务有限责任
公司",91510112669690664W001X,3.96,1612.83
6990,四川省,成都市,温江区,"和盛镇李义村18
组303号","温江和盛污水处
理厂","成都天源水务有限责任公司
温江和盛污水处理厂",91510115669674250H003Q,1,222.05
6991,四川省,成都市,温江区,"金马镇新春十二组
301号","温江科技园污水
处理厂","成都天源水务有限责任公司
温江科技园污水处理厂",91510115669674250H001V,12,3968.4
6992,四川省,成都市,温江区,寿安镇喻庙社区,"温江寿安污水处
理厂","成都天源水务有限责任公司
温江寿安污水处理厂",91510115669674250H004Q,0.2,50.54
6993,四川省,成都市,温江区,永盛镇石磊村五组,"温江永盛污水处
理厂","成都天源水务有限责任公司
温江永盛污水处理厂",91510115669674250H002V,0.5,131.59
6994,四川省,成都市,温江区,涌泉前锋村一组,"温江区城市污水
处理厂","成都温江区阳晨水质净化有
限公司温江区城市污水处理
厂",91510115780131748U001V,3,1117.88
6995,四川省,成都市,"东部新
区","石盘镇费家沟村1
社","成都·资阳工业发
展区临时污水处
理站","成都现代工业投资发展有限
公司成都·资阳工业发展区
临时污水处理站",91510112674332538U001V,0.3,15.58
6996,四川省,成都市,新都区,"北部商贸城东南
角，毗河北岸，宝
成铁路与毗河交叉
处","斑竹园镇污水处
理厂","成都香城中水水环境治理有
限公司斑竹园镇污水处理厂",91510100MA6C832X3U001Y,1,330.26
6997,四川省,成都市,新都区,"军屯镇文昌村2
社、10社","军屯镇污水处理
厂","成都香城中水水环境治理有
限公司成都市新都区军屯镇
污水处理厂",91510100MA6C832X3U009W,0.15,18.51
6998,四川省,成都市,新都区,泰兴镇高筒社区,"泰兴镇污水处理
厂","成都香城中水水环境治理有
限公司成都市新都区泰兴镇
污水处理厂",91510100MA6C832X3U007V,0.4,38.23
6999,四川省,成都市,新都区,"马家镇林泉社区10
组","马家镇污水处理
厂","成都香城中水水环境治理有
限公司马家镇污水处理厂",91510100MA6C832X3U005X,0.2,42.6
7000,四川省,成都市,新都区,木兰镇石木路,"木兰镇污水处理
厂","成都香城中水水环境治理有
限公司新都区木兰镇污水处
理厂",91510100MA6C832X3U004U,0.5,96.21
7001,四川省,成都市,新都区,"清流镇均田社区 4
组","清流镇污水处理
厂","成都香城中水水环境治理有
限公司新都区清流镇污水处
理厂",91510100MA6C832X3U002Y,0.1,8.69
7002,四川省,成都市,新都区,"石板滩镇东风村一
社","石板滩镇污水处
理厂","成都香城中水水环境治理有
限公司新都区石板滩镇污水
处理厂",91510100MA6C832X3U006X,0.6,155.11
7003,四川省,成都市,新都区,龙桥镇肖家村,"新繁镇污水处理
厂","成都香城中水水环境治理有
限公司新都区新繁镇污水处
理厂",91510100MA6C832X3U008Y,1.95,692.49
7004,四川省,成都市,新都区,"新民镇大成社区
11 组","新民镇污水处理
厂","成都香城中水水环境治理有
限公司新都区新民镇污水处
理厂",91510100MA6C832X3U003W,0.15,10.02
7005,四川省,成都市,"天府新
区","煎茶街道文化路12
号","天府新区第一污
水处理厂","成都兴天水环境治理有限公
司天府新区第一污水处理厂",91510100MA61UUGF9K001X,10,1041.95
7006,四川省,成都市,"天府新
区",正兴镇回龙社区,"毛家湾污水处理
厂","成都中法环境服务有限责任
公司",9151010069888904X8001W,1.98,812.81
7007,四川省,成都市,崇州市,"江源镇石鱼村13
组","江源镇污水处理
厂","崇州大一创新环保科技有限
公司羊马镇污水处理厂",91510184574643013J001Q,0.5,160.09
7008,四川省,成都市,崇州市,三江镇三桥村5组,"金马镇污水处理
厂","崇州市蜀兴投资有限公司崇
州市顺金社区乡镇污水处理
站",91510184660458287Q001Q,0.15,14.7
7009,四川省,成都市,崇州市,"大划街道白果社区
21.29组","崇州市经济开发
区污水处理厂","崇州天源水务有限责任公司
崇州市经济开发区污水处理
厂",91510184057482995C001W,3.96,816.1
7010,四川省,成都市,崇州市,崇阳镇徐渡村六组,"灵仙乡污水处理
厂","崇州中法环境服务有限责任
公司崇州市城市生活污水处
理厂",91510100777493705L001Q,4,1227.48
7011,四川省,成都市,大邑县,"沙渠镇欣业大道16
号","大邑县沙渠污水
处理厂",大邑海天水务有限公司厂,9151012907537201X4001W,1,377.19
7012,四川省,成都市,"都江堰
市","崇义镇界牌村5组
28号","都江堰市集齐污
水处理有限责任
公司","都江堰市集齐污水处理有限
责任公司",91510181357986642D001Q,0.06,2
7013,四川省,成都市,"都江堰
市",安龙镇泊江村4组,"都江堰兴市污水
处理有限公司都
江堰市安龙镇污
水处理厂","四川中测环境技术有限公司
都江堰分公司",91510181394098142M013U,0.1,35.54
7014,四川省,成都市,"都江堰
市",崇义镇界牌村8组,"都江堰兴市污水
处理有限公司都
江堰市崇义污水
处理厂","四川企信环境工程有限责任
公司都江堰分公司",91510181394098142M006V,0.1,36.83
7015,四川省,成都市,"都江堰
市","翠月湖镇清江村4、
5组","都江堰兴市污水
处理有限公司都
江堰市翠月湖镇
污水处理厂","四川中测环境技术有限公司
都江堰分公司",91510181394098142M012V,0.1,35.27
7016,四川省,成都市,"都江堰
市",大观镇大通村6组,"都江堰兴市污水
处理有限公司都
江堰市大观镇污
水处理厂","四川中测环境技术有限公司
都江堰分公司",91510181394098142M001X,1,365.39
7017,四川省,成都市,"都江堰
市",聚源镇导江村6组,"都江堰兴市污水
处理有限公司都
江堰市聚源污水
处理厂","四川企信环境工程有限责任
公司都江堰分公司",91510181394098142M005W,0.2,73.31
7018,四川省,成都市,"都江堰
市",石羊镇竹瓦村1组,"都江堰兴市污水
处理有限公司都
江堰市石羊镇污
水处理厂","四川中测环境技术有限公司
都江堰分公司",91510181394098142M015U,0.3,106.38
7019,四川省,成都市,"都江堰
市","奎光塔街道张家湾
社区灌温路186号","都江堰市水质净
化中心","都江堰兴市污水处理有限公
司都江堰市水质净化中心",91510181394098142M011V,4,1509.7
7020,四川省,成都市,"都江堰
市","青城山镇泰安村一
组","都江堰兴市污水
处理有限公司都
江堰市泰安古镇
污水处理厂","四川中测环境技术有限公司
都江堰分公司",91510181394098142M004V,0.1,23.48
7021,四川省,成都市,"都江堰
市",天马镇金马村5组,"都江堰兴市污水
处理有限公司都
江堰市天马污水
处理厂","四川企信环境工程有限责任
公司都江堰分公司",91510181394098142M009Q,0.1,14.29
7022,四川省,成都市,"都江堰
市",向峨乡鹿池村6组,"都江堰兴市污水
处理有限公司都
江堰市向峨污水
处理厂","四川企信环境工程有限责任
公司都江堰分公司",91510181394098142M007V,0.12,17.35
7023,四川省,成都市,"都江堰
市",胥家镇龙马村5组,"都江堰兴市污水
处理有限公司都
江堰市胥家污水
处理厂","四川企信环境工程有限责任
公司都江堰分公司",91510181394098142M008U,0.1,28.29
7024,四川省,成都市,"都江堰
市",龙池镇岷江村3组,"都江堰兴市污水
处理有限公司都
江堰市紫坪铺镇
污水处理厂","四川中测环境技术有限公司
都江堰分公司",91510181394098142M003Z,0.1,12.95
7025,四川省,成都市,"都江堰
市",虹口乡光荣村2组,"都江堰兴市污水
处理有限公司虹
口乡污水处理厂","四川中测环境技术有限公司
都江堰分公司",91510181394098142M002Y,0.1,22.46
7026,四川省,成都市,"都江堰
市","柳街镇御柳社区10
组","都江堰兴市污水
处理有限公司柳
街镇污水处理厂","四川中测环境技术有限公司
都江堰分公司",91510181394098142M014Q,0.1,35.63
7027,四川省,成都市,"都江堰
市",蒲阳镇双柏村1组,"都江堰兴市污水
处理有限公司蒲
阳污水处理厂","四川企信环境工程有限责任
公司都江堰分公司",91510181394098142M010Y,3,1124.72
7028,四川省,成都市,金堂县,淮口镇石芯村5组,"环能科技股份有
限公司金堂县淮
口工业污水处理
厂","环能科技股份有限公司金堂
县淮口工业污水处理厂",91510107737736610C001U,2,570.66
7029,四川省,成都市,简阳市,"十里坝街道新伍村
5、6组","简阳市城南工业
园污水处理厂","简阳市环沱排水有限公司简
阳市城南工业园污水处理厂",91510185MA638BHP7X002Q,2,59.14
7030,四川省,成都市,"东部新
区",贾家镇健康村,"简阳市贾家中小
企业园污水处理
厂","简阳市环沱排水有限公司简
阳市贾家中小企业园污水处
理厂",91510185MA638BHP7X001Q,0.5,0.17
7031,四川省,成都市,"东部新
区","养马镇马槽沟村5
社","简阳市养马污水
处理厂","简阳市绿江生化有限公司简
阳市养马污水处理厂",915120816804314441001X,0.5,182.5
7032,四川省,成都市,简阳市,三合镇石岭村3组,"简阳市三合镇生
活污水处理站","简阳市三合镇人民政府简阳
市三合镇生活污水处理站",115101850085434647001U,0.065,4.1
7033,四川省,成都市,简阳市,"施家镇环溪村10
社","简阳市施家镇生
活污水处理站","简阳市施家镇人民政府简阳
市施家镇生活污水处理站",1151018500854351X5001V,0.05,5.65
7034,四川省,成都市,"东部新
区","石盘镇方家林村3
社","简阳市石盘（四
海）食品医药产业
园污水处理厂","简阳市天翔供排水有限公司
简阳市石盘（四海）食品医
药产业园污水处理厂",91510185MA62Q59U8M001Q,1.5,31.28
7035,四川省,成都市,简阳市,十里坝狮子坪,"简阳市城南污水
处理厂","简阳市沱江环保生化有限责
任公司简阳市城南污水处理
厂",91512081784725666M001Z,5,1663.48
7036,四川省,成都市,"东部新
区",贾家镇付加湾,"简阳市贾家镇生
活污水处理厂","简阳市兴沱江环保有限公司
简阳市贾家镇生活污水处理
厂",915120810833681684001X,1.5,273.75
7037,四川省,成都市,简阳市,飞龙乡龙王村3组,"飞龙乡污水处理
厂","简阳市兴助水务有限公司飞
龙乡污水处理厂",91510185MA639Y504R025V,0.06,1.22
7038,四川省,成都市,"东部新
区",高明乡高明村1组,"高明乡污水处理
厂","简阳市兴助水务有限公司高
明乡污水处理厂",91510185MA639Y504R002W,0.1,22
7039,四川省,成都市,简阳市,禾丰镇蒋桥村5组,"禾丰镇污水处理
厂","简阳市兴助水务有限公司禾
丰镇污水处理厂",91510185MA639Y504R004Y,0.2,59.04
7040,四川省,成都市,简阳市,宏缘乡荣和村2组,"宏缘乡污水处理
厂","简阳市兴助水务有限公司宏
缘乡污水处理厂",91510185MA639Y504R003Q,0.15,11.05
7041,四川省,成都市,简阳市,江源镇同乐村4组,"江源镇污水处理
厂","简阳市兴助水务有限公司江
源镇污水处理厂",91510185MA639Y504R008V,0.1,18.01
7042,四川省,成都市,简阳市,金马镇金马村3组,"金马镇污水处理
厂","简阳市兴助水务有限公司金
马镇污水处理厂",91510185MA639Y504R020U,0.05,14.95
7043,四川省,成都市,简阳市,镇金镇小湾村6组,"老龙乡污水处理
厂","简阳市兴助水务有限公司老
龙乡污水处理厂",91510185MA639Y504R018V,0.05,9.24
7044,四川省,成都市,"东部新
区",灵仙乡灵仙村2组,"灵仙乡污水处理
厂","简阳市兴助水务有限公司灵
仙乡污水处理厂",91510185MA639Y504R024U,0.05,9.81
7045,四川省,成都市,简阳市,平泉镇石子村7组,"平泉镇污水处理
厂","简阳市兴助水务有限公司平
泉镇污水处理厂",91510185MA639Y504R011Z,0.12,24.38
7046,四川省,成都市,简阳市,"平窝乡狮子桥村2
组","平窝乡污水处理
厂","简阳市兴助水务有限公司平
窝乡污水处理厂",91510185MA639Y504R005Q,0.1,19.22
7047,四川省,成都市,简阳市,平武镇木桥村8组,"平武镇污水理处
厂","简阳市兴助水务有限公司平
武镇污水理处厂",91510185MA639Y504R001Q,0.15,22.85
7048,四川省,成都市,简阳市,平息乡竹山村4组,"平息乡污水处理
厂","简阳市兴助水务有限公司平
息乡污水处理厂",91510185MA639Y504R013X,0.15,31.24
7049,四川省,成都市,简阳市,普安乡大柏村5组,"普安乡污水处理
厂","简阳市兴助水务有限公司普
安乡污水处理厂",91510185MA639Y504R019Q,0.06,12.81
7050,四川省,成都市,简阳市,青龙镇银洞村7组,"青龙镇污水处理
厂","简阳市兴助水务有限公司青
龙镇污水处理厂",91510185MA639Y504R027U,0.15,46.01
7051,四川省,成都市,简阳市,三星镇胜天村4组,"三星镇污水处理
厂","简阳市兴助水务有限公司三
星镇污水处理厂",91510185MA639Y504R009V,0.2,17.42
7052,四川省,成都市,"东部新
区","石盘镇小斑竹村6
组","石盘镇污水处理
厂","简阳市兴助水务有限公司石
盘镇污水处理厂",91510185MA639Y504R006X,0.2,42.27
7053,四川省,成都市,简阳市,"石钟镇长沟村10
组","石钟镇污水处理
厂","简阳市兴助水务有限公司石
钟镇污水处理厂",91510185MA639Y504R015W,0.15,10.21
7054,四川省,成都市,简阳市,"踏水镇店子村11
组","踏水镇污水处理
厂","简阳市兴助水务有限公司踏
水镇污水处理厂",91510185MA639Y504R014Y,0.1,12.65
7055,四川省,成都市,简阳市,"太平桥镇龙家坝村
3组","太平桥镇污水处
理厂","简阳市兴助水务有限公司太
平桥镇污水处理厂",91510185MA639Y504R012V,0.15,22.87
7056,四川省,成都市,简阳市,同合乡三桥村3组,"同合乡污水处理
厂","简阳市兴助水务有限公司同
合乡污水处理厂",91510185MA639Y504R007V,0.15,12.19
7057,四川省,成都市,简阳市,五星村6组,"五星乡污水处理
厂","简阳市兴助水务有限公司五
星乡污水处理厂",91510185MA639Y504R021Q,0.06,12
7058,四川省,成都市,简阳市,"新星乡邹家湾村11
组","新星乡污水处理
厂","简阳市兴助水务有限公司新
星乡污水处理厂",91510185MA639Y504R026V,0.1,9.94
7059,四川省,成都市,简阳市,"永宁乡石竟村10
组","永宁乡污水处理
厂","简阳市兴助水务有限公司永
宁乡污水处理厂",91510185MA639Y504R023Q,0.05,11.17
7060,四川省,成都市,简阳市,"涌泉镇崇心村10
组","涌泉镇污水处理
厂","简阳市兴助水务有限公司涌
泉镇污水处理厂",91510185MA639Y504R016Y,0.12,26.02
7061,四川省,成都市,简阳市,镇金镇居委会5组,"镇金镇污水处理
厂","简阳市兴助水务有限公司镇
金镇污水处理厂",91510185MA639Y504R010U,0.15,44.94
7062,四川省,成都市,"东部新
区","石盘街道周家乡火
箭社区","周家乡污水处理
厂","简阳市兴助水务有限公司周
家乡污水处理厂",91510185MA639Y504R017Z,0.15,37.81
7063,四川省,成都市,"东部新
区",壮溪乡光华村4组,"壮溪乡污水处理
厂","简阳市兴助水务有限公司壮
溪乡污水处理厂",91510185MA639Y504R022U,0.05,6.77
7064,四川省,成都市,简阳市,"云龙镇庄园村10
组","简阳市云龙镇污
水处理厂","简阳市云龙镇人民政府简阳
市云龙镇污水处理厂",115101850085436404001Y,0.1,18
7065,四川省,成都市,金堂县,淮口镇望江村四组,"金堂海天水务有
限公司金堂工业
区东区（同兴新
区）污水处理厂","金堂海天水务有限公司金堂
工业区东区（同兴新区）污
水处理厂",91510121592091443L004V,1,265.54
7066,四川省,成都市,金堂县,"三星镇来宝沱村4
组27号","金堂海天水务有
限公司金堂县三
星大学城生活污
水处理厂","金堂海天水务有限公司金堂
县三星大学城生活污水处理
厂",91510121592091443L001W,1,219.23
7067,四川省,成都市,金堂县,赵镇新龙路157号,"金堂海天水务有
限公司金堂县县
城生活污水处理
厂","金堂海天水务有限公司金堂
县县城生活污水处理厂",91510121592091443L002W,2,400.4
7068,四川省,成都市,金堂县,"竹篙镇竹篙寺社区
25组","金堂海天水务有
限公司金堂县竹
篙镇生活污水处
理厂","金堂海天水务有限公司金堂
县竹篙镇生活污水处理厂",91510121592091443L003V,0.1,25.87
7069,四川省,成都市,金堂县,"赵家镇阳河街社区
15组","金堂海天水务有
限公司赵家镇生
活污水处理厂","金堂海天水务有限公司赵家
镇生活污水处理厂",91510121592091443L005U,0.05,8.41
7070,四川省,成都市,彭州市,致和镇百祥村四组,"彭州市第二污水
处理厂","彭州中科成污水净化有限公
司彭州市第二污水处理厂",915101826771986965001Q,1.5,866.48
7071,四川省,成都市,蒲江县,"朝阳湖镇白鹤村二
组","蒲江县朝阳湖污
水处理厂","蒲江县城乡排水有限公司朝
阳湖污水处理厂",915101315696688653007Q,0.05,17.73
7072,四川省,成都市,蒲江县,大兴镇关桥村一组,"蒲江县大兴镇污
水处理厂","蒲江县城乡排水有限公司大
兴镇污水处理厂",915101315696688653005Q,0.05,14.94
7073,四川省,成都市,蒲江县,成佳镇同心村三组,"蒲江县成佳镇污
水处理厂","蒲江县城乡排水有限公司蒲
江县成佳镇污水处理厂",915101315696688653006V,0.05,14.87
7074,四川省,成都市,蒲江县,鹤山镇公议村,"蒲江县城市生活
污水处理厂","蒲江县城乡排水有限公司蒲
江县城市生活污水处理厂",915101315696688653004W,1,192.11
7075,四川省,成都市,蒲江县,大塘镇五里墩2组,"蒲江县大塘镇污
水处理厂","蒲江县城乡排水有限公司蒲
江县大塘镇污水处理厂",915101315696688653003U,0.1,25.55
7076,四川省,成都市,蒲江县,西来镇新油坊村,"蒲江县西来镇污
水处理厂","蒲江县城乡排水有限公司蒲
江县西来镇污水处理厂",915101315696688653001Z,0.1,30.92
7077,四川省,成都市,蒲江县,寿安镇八角村一社,"蒲江县寿安镇污
水处理厂","蒲江县城乡排水有限公司寿
安镇污水处理厂",915101315696688653002Z,0.3,43.66
7078,四川省,成都市,邛崃市,"文君街道百胜村12
组","邛崃市宝林镇水
质净化厂","邛崃大中环保科技有限公司
邛崃市宝林镇水质净化厂",915101835510682632010U,0.05,16.57
